neuron_1,neuron_2,neuron3
0.99,0.58,0.52
0.99,0.58,0.52
0.99,0.58,0.52
0.99,0.58,0.52
0.99,0.58,0.52
0.99,0.57,0.52
0.99,0.57,0.52
0.99,0.57,0.52
0.99,0.57,0.51
0.99,0.57,0.51
0.99,0.57,0.51
0.99,0.57,0.51
0.99,0.57,0.51
0.99,0.57,0.51
0.99,0.57,0.51
0.99,0.57,0.51
0.99,0.57,0.51
0.99,0.56,0.50
0.99,0.56,0.50
0.99,0.56,0.50
0.99,0.56,0.50
0.99,0.56,0.50
0.99,0.56,0.50
0.99,0.56,0.50
0.99,0.56,0.50
0.99,0.56,0.50
0.99,0.56,0.49
0.99,0.56,0.49
0.99,0.56,0.49
0.99,0.55,0.49
0.99,0.55,0.49
0.99,0.55,0.49
0.99,0.55,0.49
0.99,0.55,0.49
0.99,0.55,0.49
0.99,0.55,0.48
0.99,0.55,0.48
0.99,0.55,0.48
0.99,0.55,0.48
0.99,0.55,0.48
0.99,0.55,0.48
0.99,0.54,0.48
0.99,0.54,0.48
0.99,0.54,0.48
0.99,0.54,0.48
0.99,0.54,0.47
0.99,0.54,0.47
0.99,0.54,0.47
0.99,0.54,0.47
0.99,0.54,0.47
0.99,0.54,0.47
0.99,0.54,0.47
0.99,0.54,0.47
0.99,0.54,0.47
0.99,0.53,0.46
0.99,0.53,0.46
0.99,0.53,0.46
0.99,0.53,0.46
0.99,0.53,0.46
0.99,0.53,0.46
0.99,0.53,0.46
0.99,0.53,0.46
0.99,0.53,0.46
0.99,0.53,0.45
0.99,0.53,0.45
0.99,0.53,0.45
1.00,0.52,0.45
1.00,0.52,0.45
1.00,0.52,0.45
1.00,0.52,0.45
1.00,0.52,0.45
1.00,0.52,0.45
1.00,0.52,0.45
1.00,0.52,0.44
1.00,0.52,0.44
1.00,0.52,0.44
1.00,0.52,0.44
1.00,0.52,0.44
1.00,0.52,0.44
1.00,0.52,0.44
1.00,0.51,0.44
1.00,0.51,0.44
1.00,0.51,0.44
1.00,0.51,0.43
1.00,0.51,0.43
1.00,0.51,0.43
1.00,0.51,0.43
1.00,0.51,0.43
1.00,0.51,0.43
1.00,0.51,0.43
1.00,0.51,0.43
1.00,0.51,0.43
1.00,0.51,0.43
1.00,0.50,0.42
1.00,0.50,0.42
1.00,0.50,0.42
1.00,0.50,0.42
1.00,0.50,0.42
1.00,0.50,0.42
1.00,0.50,0.42
1.00,0.50,0.42
1.00,0.50,0.42
1.00,0.50,0.42
1.00,0.50,0.41
1.00,0.50,0.41
1.00,0.50,0.41
1.00,0.50,0.41
1.00,0.49,0.41
1.00,0.49,0.41
1.00,0.49,0.41
1.00,0.49,0.41
1.00,0.49,0.41
1.00,0.49,0.41
1.00,0.49,0.40
1.00,0.49,0.40
1.00,0.49,0.40
1.00,0.49,0.40
1.00,0.49,0.40
1.00,0.49,0.40
1.00,0.49,0.40
1.00,0.49,0.40
1.00,0.49,0.40
1.00,0.48,0.40
1.00,0.48,0.39
1.00,0.48,0.39
1.00,0.48,0.39
1.00,0.48,0.39
1.00,0.48,0.39
1.00,0.48,0.39
1.00,0.48,0.39
1.00,0.48,0.39
1.00,0.48,0.39
1.00,0.48,0.39
1.00,0.48,0.39
1.00,0.48,0.38
1.00,0.48,0.38
1.00,0.48,0.38
1.00,0.47,0.38
1.00,0.47,0.38
1.00,0.47,0.38
1.00,0.47,0.38
1.00,0.47,0.38
1.00,0.47,0.38
1.00,0.47,0.38
1.00,0.47,0.38
1.00,0.47,0.37
1.00,0.47,0.37
1.00,0.47,0.37
1.00,0.47,0.37
1.00,0.47,0.37
1.00,0.47,0.37
1.00,0.47,0.37
1.00,0.47,0.37
1.00,0.46,0.37
1.00,0.46,0.37
1.00,0.46,0.37
1.00,0.46,0.36
1.00,0.46,0.36
1.00,0.46,0.36
1.00,0.46,0.36
1.00,0.46,0.36
1.00,0.46,0.36
1.00,0.46,0.36
1.00,0.46,0.36
1.00,0.46,0.36
1.00,0.46,0.36
1.00,0.46,0.36
1.00,0.46,0.35
1.00,0.46,0.35
1.00,0.45,0.35
1.00,0.45,0.35
1.00,0.45,0.35
1.00,0.45,0.35
1.00,0.45,0.35
1.00,0.45,0.35
1.00,0.45,0.35
1.00,0.45,0.35
1.00,0.45,0.35
1.00,0.45,0.34
1.00,0.45,0.34
1.00,0.45,0.34
1.00,0.45,0.34
1.00,0.45,0.34
1.00,0.45,0.34
1.00,0.45,0.34
1.00,0.45,0.34
1.00,0.44,0.34
1.00,0.44,0.34
1.00,0.44,0.34
1.00,0.44,0.34
1.00,0.44,0.33
1.00,0.44,0.33
1.00,0.44,0.33
1.00,0.44,0.33
1.00,0.44,0.33
1.00,0.44,0.33
1.00,0.44,0.33
1.00,0.44,0.33
1.00,0.44,0.33
1.00,0.44,0.33
1.00,0.44,0.33
1.00,0.44,0.33
1.00,0.44,0.32
1.00,0.44,0.32
1.00,0.43,0.32
1.00,0.43,0.32
1.00,0.43,0.32
1.00,0.43,0.32
1.00,0.43,0.32
1.00,0.43,0.32
1.00,0.43,0.32
1.00,0.43,0.32
1.00,0.43,0.32
1.00,0.43,0.32
1.00,0.43,0.31
1.00,0.43,0.31
1.00,0.43,0.31
1.00,0.43,0.31
1.00,0.43,0.31
1.00,0.43,0.31
1.00,0.43,0.31
1.00,0.43,0.31
1.00,0.43,0.31
1.00,0.43,0.31
1.00,0.42,0.31
1.00,0.42,0.31
1.00,0.42,0.31
1.00,0.42,0.30
1.00,0.42,0.30
1.00,0.42,0.30
1.00,0.42,0.30
1.00,0.42,0.30
1.00,0.42,0.30
1.00,0.42,0.30
1.00,0.42,0.30
1.00,0.42,0.30
1.00,0.42,0.30
1.00,0.42,0.30
1.00,0.42,0.30
1.00,0.42,0.30
1.00,0.42,0.29
1.00,0.42,0.29
1.00,0.42,0.29
1.00,0.42,0.29
1.00,0.41,0.29
1.00,0.41,0.29
1.00,0.41,0.29
1.00,0.41,0.29
1.00,0.41,0.29
1.00,0.41,0.29
1.00,0.41,0.29
1.00,0.41,0.29
1.00,0.41,0.29
1.00,0.41,0.28
1.00,0.41,0.28
1.00,0.41,0.28
1.00,0.41,0.28
1.00,0.41,0.28
1.00,0.41,0.28
1.00,0.41,0.28
1.00,0.41,0.28
1.00,0.41,0.28
1.00,0.41,0.28
1.00,0.41,0.28
1.00,0.41,0.28
1.00,0.41,0.28
1.00,0.40,0.28
1.00,0.40,0.27
1.00,0.40,0.27
1.00,0.40,0.27
1.00,0.40,0.27
1.00,0.40,0.27
1.00,0.40,0.27
1.00,0.40,0.27
1.00,0.40,0.27
1.00,0.40,0.27
1.00,0.40,0.27
1.00,0.40,0.27
1.00,0.40,0.27
1.00,0.40,0.27
1.00,0.40,0.27
1.00,0.40,0.27
1.00,0.40,0.26
1.00,0.40,0.26
1.00,0.40,0.26
1.00,0.40,0.26
1.00,0.40,0.26
1.00,0.40,0.26
1.00,0.40,0.26
1.00,0.39,0.26
1.00,0.39,0.26
1.00,0.39,0.26
1.00,0.39,0.26
1.00,0.39,0.26
1.00,0.39,0.26
1.00,0.39,0.26
1.00,0.39,0.25
1.00,0.39,0.25
