neuron_1,neuron_2,neuron_3,neuron_4
0.68,0.00,0.68,0.00
0.68,0.00,0.68,0.00
0.68,0.00,0.68,0.00
0.67,0.00,0.67,0.00
0.67,0.00,0.67,0.00
0.67,0.00,0.67,0.00
0.67,0.00,0.67,0.00
0.67,0.00,0.67,0.00
0.66,0.00,0.66,0.00
0.66,0.00,0.66,0.00
0.66,0.00,0.66,0.00
0.66,0.00,0.66,0.00
0.65,0.00,0.65,0.00
0.65,0.00,0.65,0.00
0.65,0.00,0.65,0.00
0.65,0.00,0.64,0.00
0.64,0.00,0.64,0.00
0.64,0.00,0.64,0.00
0.64,0.00,0.64,0.00
0.63,0.00,0.63,0.00
0.63,0.00,0.63,0.00
0.63,0.00,0.63,0.00
0.62,0.00,0.62,0.00
0.62,0.00,0.62,0.00
0.62,0.00,0.61,0.00
0.61,0.00,0.61,0.00
0.61,0.00,0.61,0.00
0.61,0.00,0.60,0.00
0.60,0.00,0.60,0.00
0.60,0.00,0.60,0.00
0.59,0.00,0.59,0.00
0.59,0.00,0.59,0.00
0.59,0.00,0.59,0.00
0.58,0.00,0.58,0.00
0.58,0.00,0.58,0.00
0.58,0.00,0.57,0.00
