neuron_1,neuron_2,neuron_3,neuron_4,neuron_5,neuron_6,neuron_7,neuron_8,neuron_9,neuron_10,neuron_11,neuron_12,neuron_13,neuron_14,neuron_15,neuron_16,neuron_17,neuron_18,neuron_19,neuron_20
0.00,0.00,0.00,0.71,1.40,0.25,0.00,0.00,0.26,1.18,0.67,0.00,0.03,0.60,0.87,0.00,0.00,0.07,0.93,1.07
0.01,0.00,0.00,0.63,1.45,0.34,0.00,0.00,0.17,1.18,0.70,0.00,0.00,0.61,0.94,0.00,0.00,0.00,0.90,1.15
0.07,0.00,0.00,0.53,1.48,0.43,0.00,0.00,0.07,1.17,0.73,0.00,0.00,0.61,1.02,0.00,0.00,0.00,0.86,1.23
0.12,0.00,0.00,0.43,1.50,0.52,0.00,0.00,0.00,1.16,0.76,0.00,0.00,0.60,1.10,0.00,0.00,0.00,0.81,1.30
0.19,0.00,0.00,0.32,1.51,0.62,0.00,0.00,0.00,1.15,0.78,0.00,0.00,0.59,1.18,0.04,0.00,0.00,0.74,1.35
0.27,0.00,0.00,0.20,1.50,0.73,0.00,0.00,0.00,1.13,0.81,0.00,0.00,0.56,1.25,0.08,0.00,0.00,0.66,1.40
0.35,0.00,0.00,0.07,1.49,0.83,0.00,0.00,0.00,1.12,0.84,0.00,0.00,0.52,1.31,0.12,0.00,0.00,0.57,1.43
0.45,0.00,0.00,0.00,1.46,0.92,0.00,0.00,0.00,1.10,0.86,0.00,0.00,0.47,1.37,0.18,0.00,0.00,0.47,1.45
0.55,0.00,0.00,0.00,1.42,1.01,0.00,0.00,0.00,1.07,0.89,0.00,0.00,0.41,1.42,0.24,0.00,0.00,0.35,1.46
0.66,0.00,0.00,0.00,1.37,1.10,0.00,0.00,0.00,1.05,0.93,0.00,0.00,0.34,1.46,0.31,0.00,0.00,0.23,1.46
0.76,0.00,0.00,0.00,1.31,1.18,0.00,0.00,0.00,1.02,0.97,0.00,0.00,0.26,1.49,0.39,0.00,0.00,0.10,1.44
0.86,0.00,0.00,0.00,1.25,1.26,0.00,0.00,0.00,0.99,1.01,0.00,0.00,0.17,1.51,0.48,0.00,0.00,0.00,1.41
0.95,0.00,0.00,0.00,1.18,1.33,0.00,0.00,0.00,0.95,1.07,0.00,0.00,0.07,1.52,0.58,0.00,0.00,0.00,1.37
1.04,0.00,0.00,0.00,1.10,1.40,0.00,0.00,0.00,0.91,1.13,0.00,0.00,0.00,1.52,0.68,0.00,0.00,0.00,1.32
1.12,0.00,0.00,0.00,1.01,1.47,0.00,0.00,0.00,0.87,1.20,0.00,0.00,0.00,1.50,0.79,0.00,0.00,0.00,1.26
1.20,0.00,0.00,0.00,0.93,1.53,0.00,0.00,0.00,0.82,1.27,0.00,0.00,0.00,1.48,0.88,0.00,0.00,0.00,1.20
1.28,0.00,0.00,0.00,0.83,1.59,0.00,0.00,0.00,0.77,1.34,0.00,0.00,0.00,1.44,0.98,0.00,0.00,0.00,1.13
1.35,0.00,0.00,0.00,0.74,1.64,0.00,0.00,0.00,0.70,1.40,0.00,0.00,0.00,1.39,1.06,0.00,0.00,0.00,1.05
1.42,0.00,0.00,0.00,0.64,1.69,0.00,0.00,0.00,0.64,1.46,0.00,0.00,0.00,1.33,1.15,0.00,0.00,0.00,0.97
1.48,0.00,0.00,0.00,0.54,1.74,0.00,0.00,0.00,0.57,1.52,0.00,0.00,0.00,1.27,1.23,0.00,0.00,0.00,0.88
1.54,0.00,0.00,0.00,0.44,1.79,0.00,0.00,0.00,0.49,1.58,0.00,0.00,0.00,1.20,1.30,0.00,0.00,0.00,0.79
1.60,0.00,0.00,0.00,0.34,1.83,0.00,0.00,0.00,0.41,1.63,0.00,0.00,0.00,1.12,1.37,0.00,0.00,0.00,0.69
1.65,0.00,0.00,0.00,0.23,1.87,0.05,0.00,0.00,0.33,1.68,0.00,0.00,0.00,1.03,1.44,0.00,0.00,0.00,0.60
1.70,0.00,0.00,0.00,0.13,1.91,0.14,0.00,0.00,0.25,1.72,0.00,0.00,0.00,0.94,1.50,0.00,0.00,0.00,0.50
1.75,0.00,0.00,0.00,0.02,1.93,0.23,0.00,0.00,0.16,1.77,0.00,0.00,0.00,0.85,1.56,0.00,0.00,0.00,0.40
1.79,0.00,0.00,0.00,0.00,1.95,0.32,0.00,0.00,0.07,1.81,0.00,0.00,0.00,0.76,1.62,0.00,0.00,0.00,0.30
1.83,0.13,0.00,0.00,0.00,1.95,0.43,0.00,0.00,0.00,1.84,0.00,0.00,0.00,0.66,1.67,0.00,0.00,0.00,0.20
1.87,0.26,0.00,0.00,0.00,1.95,0.53,0.00,0.00,0.00,1.88,0.00,0.00,0.00,0.56,1.72,0.00,0.00,0.00,0.08
1.89,0.38,0.00,0.00,0.00,1.93,0.64,0.00,0.00,0.00,1.91,0.00,0.00,0.00,0.45,1.77,0.00,0.00,0.00,0.00
1.90,0.50,0.00,0.00,0.00,1.89,0.75,0.00,0.00,0.00,1.94,0.00,0.00,0.00,0.35,1.81,0.09,0.00,0.00,0.00
1.89,0.61,0.00,0.00,0.00,1.85,0.84,0.00,0.00,0.00,1.97,0.00,0.00,0.00,0.24,1.85,0.22,0.00,0.00,0.00
1.86,0.71,0.00,0.00,0.00,1.80,0.94,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.13,1.88,0.34,0.00,0.00,0.00
1.82,0.81,0.00,0.00,0.00,1.73,1.03,0.00,0.00,0.00,2.02,0.05,0.00,0.00,0.00,1.89,0.46,0.00,0.00,0.00
1.78,0.91,0.00,0.00,0.00,1.66,1.11,0.00,0.00,0.00,2.04,0.17,0.00,0.00,0.00,1.89,0.57,0.00,0.00,0.00
1.72,1.00,0.00,0.00,0.00,1.58,1.19,0.00,0.00,0.00,2.06,0.30,0.00,0.00,0.00,1.87,0.68,0.00,0.00,0.00
1.65,1.08,0.00,0.00,0.00,1.49,1.27,0.00,0.00,0.00,2.06,0.42,0.00,0.00,0.00,1.83,0.78,0.00,0.00,0.00
1.57,1.17,0.00,0.00,0.00,1.40,1.34,0.00,0.00,0.00,2.04,0.54,0.00,0.00,0.00,1.79,0.88,0.00,0.00,0.00
1.49,1.24,0.00,0.00,0.00,1.30,1.41,0.00,0.00,0.00,2.01,0.65,0.00,0.00,0.00,1.74,0.97,0.00,0.00,0.00
1.40,1.32,0.00,0.00,0.00,1.19,1.48,0.00,0.00,0.00,1.96,0.75,0.00,0.00,0.00,1.67,1.06,0.00,0.00,0.00
1.31,1.39,0.00,0.00,0.00,1.09,1.54,0.00,0.00,0.00,1.91,0.85,0.00,0.00,0.00,1.60,1.14,0.00,0.00,0.00
1.21,1.45,0.00,0.00,0.00,0.98,1.59,0.00,0.00,0.00,1.84,0.95,0.00,0.00,0.00,1.52,1.22,0.00,0.00,0.00
1.11,1.51,0.00,0.00,0.00,0.87,1.65,0.00,0.00,0.00,1.77,1.04,0.00,0.00,0.00,1.44,1.29,0.00,0.00,0.00
1.00,1.57,0.00,0.00,0.00,0.75,1.70,0.00,0.00,0.00,1.68,1.12,0.00,0.00,0.00,1.34,1.36,0.00,0.00,0.00
0.89,1.63,0.00,0.00,0.00,0.64,1.75,0.00,0.00,0.00,1.59,1.20,0.00,0.00,0.00,1.25,1.43,0.00,0.00,0.00
0.78,1.68,0.00,0.00,0.00,0.52,1.79,0.00,0.00,0.00,1.50,1.28,0.00,0.00,0.00,1.15,1.49,0.00,0.00,0.00
0.67,1.73,0.00,0.00,0.00,0.41,1.83,0.00,0.00,0.00,1.39,1.35,0.00,0.00,0.00,1.04,1.55,0.00,0.00,0.00
0.56,1.77,0.00,0.00,0.00,0.29,1.87,0.00,0.00,0.00,1.29,1.42,0.00,0.00,0.00,0.94,1.61,0.00,0.00,0.00
0.44,1.81,0.00,0.00,0.00,0.17,1.91,0.00,0.00,0.00,1.18,1.49,0.00,0.00,0.00,0.83,1.66,0.00,0.00,0.00
0.33,1.85,0.00,0.00,0.00,0.06,1.94,0.00,0.00,0.00,1.06,1.55,0.00,0.00,0.00,0.72,1.71,0.00,0.00,0.00
0.21,1.89,0.00,0.00,0.00,0.00,1.98,0.00,0.00,0.00,0.95,1.61,0.00,0.00,0.00,0.60,1.75,0.00,0.00,0.00
0.10,1.93,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.83,1.66,0.00,0.00,0.00,0.49,1.80,0.00,0.00,0.00
0.00,1.96,0.00,0.00,0.00,0.00,2.03,0.00,0.00,0.00,0.71,1.71,0.00,0.00,0.00,0.38,1.84,0.00,0.00,0.00
0.00,1.99,0.00,0.00,0.00,0.00,2.06,0.00,0.00,0.00,0.59,1.76,0.00,0.00,0.00,0.26,1.88,0.00,0.00,0.00
0.00,2.02,0.00,0.00,0.00,0.00,2.08,0.00,0.00,0.00,0.46,1.80,0.00,0.00,0.00,0.15,1.91,0.00,0.00,0.00
0.00,2.04,0.09,0.00,0.00,0.00,2.10,0.00,0.00,0.00,0.34,1.85,0.00,0.00,0.00,0.04,1.94,0.00,0.00,0.00
0.00,2.07,0.21,0.00,0.00,0.00,2.12,0.00,0.00,0.00,0.22,1.89,0.00,0.00,0.00,0.00,1.98,0.06,0.00,0.00
0.00,2.08,0.34,0.00,0.00,0.00,2.14,0.00,0.00,0.00,0.10,1.92,0.00,0.00,0.00,0.00,2.00,0.19,0.00,0.00
0.00,2.07,0.46,0.00,0.00,0.00,2.15,0.00,0.00,0.00,0.00,1.96,0.00,0.00,0.00,0.00,2.02,0.32,0.00,0.00
0.00,2.05,0.57,0.00,0.00,0.00,2.17,0.00,0.00,0.00,0.00,1.99,0.00,0.00,0.00,0.00,2.02,0.43,0.00,0.00
0.00,2.02,0.67,0.00,0.00,0.00,2.18,0.00,0.00,0.00,0.00,2.02,0.04,0.00,0.00,0.00,2.01,0.55,0.00,0.00
0.00,1.97,0.77,0.00,0.00,0.00,2.19,0.00,0.00,0.00,0.00,2.05,0.17,0.00,0.00,0.00,1.98,0.65,0.00,0.00
0.00,1.92,0.87,0.00,0.00,0.00,2.20,0.00,0.00,0.00,0.00,2.07,0.30,0.00,0.00,0.00,1.94,0.76,0.00,0.00
0.00,1.85,0.96,0.00,0.00,0.00,2.21,0.07,0.00,0.00,0.00,2.07,0.42,0.00,0.00,0.00,1.89,0.85,0.00,0.00
0.00,1.78,1.05,0.00,0.00,0.00,2.22,0.20,0.00,0.00,0.00,2.06,0.53,0.00,0.00,0.00,1.83,0.94,0.00,0.00
0.00,1.69,1.13,0.00,0.00,0.00,2.22,0.32,0.00,0.00,0.00,2.03,0.64,0.00,0.00,0.00,1.76,1.03,0.00,0.00
0.00,1.60,1.21,0.00,0.00,0.00,2.20,0.44,0.00,0.00,0.00,1.99,0.74,0.00,0.00,0.00,1.68,1.11,0.00,0.00
0.00,1.51,1.28,0.00,0.00,0.00,2.17,0.56,0.00,0.00,0.00,1.94,0.84,0.00,0.00,0.00,1.60,1.19,0.00,0.00
0.00,1.41,1.35,0.00,0.00,0.00,2.12,0.66,0.00,0.00,0.00,1.88,0.94,0.00,0.00,0.00,1.51,1.27,0.00,0.00
0.00,1.30,1.42,0.00,0.00,0.00,2.06,0.77,0.00,0.00,0.00,1.81,1.02,0.00,0.00,0.00,1.41,1.34,0.00,0.00
0.00,1.19,1.48,0.00,0.00,0.00,1.99,0.86,0.00,0.00,0.00,1.73,1.11,0.00,0.00,0.00,1.31,1.40,0.00,0.00
0.00,1.08,1.54,0.00,0.00,0.00,1.92,0.96,0.00,0.00,0.00,1.64,1.19,0.00,0.00,0.00,1.20,1.47,0.00,0.00
0.00,0.96,1.60,0.00,0.00,0.00,1.83,1.04,0.00,0.00,0.00,1.55,1.26,0.00,0.00,0.00,1.09,1.53,0.00,0.00
0.00,0.85,1.65,0.00,0.00,0.00,1.74,1.13,0.00,0.00,0.00,1.45,1.33,0.00,0.00,0.00,0.98,1.58,0.00,0.00
0.00,0.73,1.70,0.00,0.00,0.00,1.64,1.21,0.00,0.00,0.00,1.35,1.40,0.00,0.00,0.00,0.87,1.64,0.00,0.00
0.00,0.61,1.74,0.00,0.00,0.00,1.53,1.28,0.00,0.00,0.00,1.24,1.47,0.00,0.00,0.00,0.75,1.68,0.00,0.00
0.00,0.49,1.79,0.00,0.00,0.00,1.42,1.35,0.00,0.00,0.00,1.13,1.53,0.00,0.00,0.00,0.63,1.73,0.00,0.00
0.00,0.37,1.83,0.00,0.00,0.00,1.31,1.42,0.00,0.00,0.00,1.02,1.58,0.00,0.00,0.00,0.52,1.78,0.00,0.00
0.00,0.25,1.87,0.00,0.00,0.00,1.19,1.48,0.00,0.00,0.00,0.90,1.64,0.00,0.00,0.00,0.40,1.82,0.00,0.00
0.00,0.14,1.90,0.00,0.00,0.00,1.07,1.54,0.00,0.00,0.00,0.79,1.69,0.00,0.00,0.00,0.28,1.85,0.00,0.00
0.00,0.02,1.93,0.00,0.00,0.00,0.94,1.60,0.00,0.00,0.00,0.67,1.74,0.00,0.00,0.00,0.17,1.89,0.00,0.00
0.00,0.00,1.97,0.00,0.00,0.00,0.82,1.65,0.00,0.00,0.00,0.55,1.78,0.00,0.00,0.00,0.05,1.92,0.00,0.00
0.00,0.00,1.99,0.00,0.00,0.00,0.69,1.70,0.00,0.00,0.00,0.43,1.82,0.00,0.00,0.00,0.00,1.95,0.00,0.00
0.00,0.00,2.02,0.00,0.00,0.00,0.57,1.75,0.00,0.00,0.00,0.31,1.86,0.00,0.00,0.00,0.00,1.98,0.00,0.00
0.00,0.00,2.04,0.00,0.00,0.00,0.44,1.79,0.00,0.00,0.00,0.20,1.90,0.00,0.00,0.00,0.00,2.01,0.00,0.00
0.00,0.00,2.07,0.00,0.00,0.00,0.32,1.83,0.00,0.00,0.00,0.08,1.93,0.00,0.00,0.00,0.00,2.03,0.00,0.00
0.00,0.00,2.09,0.00,0.00,0.00,0.19,1.87,0.00,0.00,0.00,0.00,1.96,0.00,0.00,0.00,0.00,2.06,0.02,0.00
0.00,0.00,2.10,0.00,0.00,0.00,0.07,1.91,0.00,0.00,0.00,0.00,1.99,0.00,0.00,0.00,0.00,2.08,0.14,0.00
0.00,0.00,2.12,0.00,0.00,0.00,0.00,1.94,0.00,0.00,0.00,0.00,2.02,0.00,0.00,0.00,0.00,2.09,0.27,0.00
0.00,0.00,2.14,0.00,0.00,0.00,0.00,1.97,0.00,0.00,0.00,0.00,2.04,0.13,0.00,0.00,0.00,2.09,0.38,0.00
0.00,0.00,2.15,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,2.07,0.26,0.00,0.00,0.00,2.08,0.50,0.00
0.00,0.00,2.16,0.00,0.00,0.00,0.00,2.03,0.00,0.00,0.00,0.00,2.07,0.37,0.00,0.00,0.00,2.05,0.60,0.00
0.00,0.00,2.17,0.00,0.00,0.00,0.00,2.05,0.00,0.00,0.00,0.00,2.06,0.49,0.00,0.00,0.00,2.01,0.70,0.00
0.00,0.00,2.18,0.00,0.00,0.00,0.00,2.07,0.10,0.00,0.00,0.00,2.04,0.60,0.00,0.00,0.00,1.96,0.80,0.00
0.00,0.00,2.19,0.00,0.00,0.00,0.00,2.09,0.23,0.00,0.00,0.00,2.00,0.70,0.00,0.00,0.00,1.90,0.89,0.00
0.00,0.00,2.20,0.04,0.00,0.00,0.00,2.10,0.35,0.00,0.00,0.00,1.95,0.79,0.00,0.00,0.00,1.82,0.98,0.00
0.00,0.00,2.20,0.17,0.00,0.00,0.00,2.09,0.47,0.00,0.00,0.00,1.89,0.89,0.00,0.00,0.00,1.74,1.06,0.00
0.00,0.00,2.20,0.29,0.00,0.00,0.00,2.07,0.57,0.00,0.00,0.00,1.83,0.98,0.00,0.00,0.00,1.66,1.14,0.00
0.00,0.00,2.19,0.41,0.00,0.00,0.00,2.03,0.68,0.00,0.00,0.00,1.75,1.06,0.00,0.00,0.00,1.57,1.21,0.00
0.00,0.00,2.16,0.52,0.00,0.00,0.00,1.98,0.78,0.00,0.00,0.00,1.67,1.14,0.00,0.00,0.00,1.47,1.28,0.00
0.00,0.00,2.11,0.63,0.00,0.00,0.00,1.93,0.87,0.00,0.00,0.00,1.57,1.21,0.00,0.00,0.00,1.36,1.35,0.00
0.00,0.00,2.06,0.73,0.00,0.00,0.00,1.86,0.96,0.00,0.00,0.00,1.48,1.28,0.00,0.00,0.00,1.26,1.41,0.00
0.00,0.00,1.99,0.82,0.00,0.00,0.00,1.78,1.05,0.00,0.00,0.00,1.38,1.35,0.00,0.00,0.00,1.15,1.47,0.00
0.00,0.00,1.92,0.92,0.00,0.00,0.00,1.70,1.13,0.00,0.00,0.00,1.27,1.42,0.00,0.00,0.00,1.03,1.53,0.00
0.00,0.00,1.83,1.00,0.00,0.00,0.00,1.60,1.20,0.00,0.00,0.00,1.17,1.48,0.00,0.00,0.00,0.92,1.58,0.00
0.00,0.00,1.74,1.09,0.00,0.00,0.00,1.51,1.28,0.00,0.00,0.00,1.05,1.53,0.00,0.00,0.00,0.80,1.63,0.00
0.00,0.00,1.64,1.16,0.00,0.00,0.00,1.41,1.34,0.00,0.00,0.00,0.94,1.59,0.00,0.00,0.00,0.69,1.68,0.00
0.00,0.00,1.54,1.24,0.00,0.00,0.00,1.30,1.41,0.00,0.00,0.00,0.83,1.64,0.00,0.00,0.00,0.57,1.72,0.00
0.00,0.00,1.43,1.31,0.00,0.00,0.00,1.19,1.47,0.00,0.00,0.00,0.71,1.68,0.00,0.00,0.00,0.45,1.76,0.00
0.00,0.00,1.32,1.37,0.00,0.00,0.00,1.08,1.53,0.00,0.00,0.00,0.59,1.73,0.00,0.00,0.00,0.33,1.80,0.00
0.00,0.00,1.20,1.44,0.00,0.00,0.00,0.96,1.58,0.00,0.00,0.00,0.48,1.77,0.00,0.00,0.00,0.22,1.84,0.00
0.00,0.00,1.09,1.50,0.00,0.00,0.00,0.85,1.63,0.00,0.00,0.00,0.36,1.81,0.00,0.00,0.00,0.10,1.87,0.00
0.00,0.00,0.96,1.55,0.00,0.00,0.00,0.73,1.68,0.00,0.00,0.00,0.24,1.84,0.00,0.00,0.00,0.00,1.90,0.00
0.00,0.00,0.84,1.61,0.00,0.00,0.00,0.61,1.73,0.00,0.00,0.00,0.13,1.88,0.00,0.00,0.00,0.00,1.93,0.00
0.00,0.00,0.72,1.65,0.00,0.00,0.00,0.49,1.77,0.00,0.00,0.00,0.01,1.91,0.00,0.00,0.00,0.00,1.96,0.00
0.00,0.00,0.60,1.70,0.00,0.00,0.00,0.37,1.81,0.00,0.00,0.00,0.00,1.94,0.00,0.00,0.00,0.00,1.98,0.00
0.00,0.00,0.47,1.75,0.00,0.00,0.00,0.26,1.85,0.00,0.00,0.00,0.00,1.97,0.00,0.00,0.00,0.00,2.01,0.00
0.00,0.00,0.35,1.79,0.00,0.00,0.00,0.14,1.88,0.00,0.00,0.00,0.00,1.99,0.00,0.00,0.00,0.00,2.03,0.00
0.00,0.00,0.22,1.82,0.00,0.00,0.00,0.02,1.91,0.00,0.00,0.00,0.00,2.01,0.00,0.00,0.00,0.00,2.05,0.00
